Zieliet, Lord of the Skies
Soassain, The Taker of Life
Chyzirth, The Champion
Xaetunnteid, The Clever
iondreot, The Fast One
Bayrmeolth, Lord of the Yellow
Naelullinth, Protector of the Forest
Pievarrrierth, Lord of the Red
Viessoantntial, The Grumpy
Zorrintsdys, Bringer of Death
Rirrointntanth, Warmheart
Zonnais, The Puny
Vylroil, Champion of the Skies
Heonnin, Lord of the Skies
Cialzreolth, The Champion
Chiarsoin, Lord of the Brown
Telryrphie, Lord of the Skies
Chymmelth, Destroyer of Men
Siorliocrdeon, The Dark
Caekyphphulth, Lord of the Skies
Qagu, The Bright
Bidrin, The Eternal
Zaigeom, The Fast One
Rolrirrntier, The Loud
Foithenphenth, The Swift
Cadiass, The Deathlord
Freoliarth, The Jealous One
Hairoirniem, Redeemer of Men
Kaissuldinth, Lord of the Blue
eimmolth, The Bright
Kaineoss, The Tiran
Zonnein, Warmheart
Griozzug, Eater of All
Kaemiandoa, The Clumsy One
Fraissoaddoilth, The Nocturnal
Miegham, Redeemer of Men
Qiennyntsseo, The Gifted
Loadus, The Dead
Tavnodssiss, The Squeeler
Nayghierrphanth, The Squeeler
Hoaphos, The Kind
Shighoanlarth, The Clean
Xorlays, The Scary
Xirria, Eater of Bunnies
Tollei, The Nocturnal
ymryd, Lord of the Black
Zeoneo, The Eternal One
Deopaerntut, Bringer of Death
Murvuntrriet, The Rabbit Slayer
Cosunrrunth, Protector of the Forest
Cheironth, Destroyer of Men
Qadheodryss, The Gifted One
iezeth, Protector of Creatures
Bumailntaet, The Warm
Voimriaphsdialth, Gentleheart
Fynanssem, The Mysterious One
Vapheit, Eater of All
Vyzzuth, The Insane
Taelzraem, The Taker of Life
iemriedden, The Young One
Riorveophdeis, The Clever
Brayndenneolth, The White
Georvedsseog, The Swift
Saydrurrreorth, The Young One
Vossentntayss, The Puny
Sumbassphylth, Lord of Fire
Deinnysscrol, Champion of the Skies
Rairriossliot, The Dragonlord
Shielraintphun, The Fierce
Grainoig, Lord of Ice
irre, The Creep
Paydoag, The Chosen
Chaivraidphe, The Magnificent
Reolrophphenth, Champion of Men
Kindeonssei, The Mysterious
Ziorrarrntays, The Gifted
Gessiar, The Dragonlord
Keipydrraet, The Youngling
Raiphirnieg, The Adorable
Roimmeis, Lord of the Red
Rivnoadsseol, The Scary
Maipiesdrroass, The Dragonlord
Naeteon, The Brave
Doardar, Lord of the Red
Gaezzoirraess, The Firestarter
Vakulssiet, Champion of the White
Biemmarssayg, The Quiet
Kurraynth, The Scary One
Tusalth, Longtail
Neizzarntiss, The Gifted One
Qykeirth, The Protective
Fuzocrsseinth, Champion of Men
Bipaintnorth, The Rabbit Slayer
Qiervurrrroirth, The Gifted One
Remeirrnteid, The Adorable
Jeinoit, The Life Giver
Payzzayth, The Youngling
Gaireophsdeirth, The Adorable
Hururrdeth, Champion of the Black
Mumbeirth, The Magnificent
oakeilth, The Skinny One
Naynnat, Champion of the Yellow
Fremriaphnerth, Champion of the Black
Soizoidleid, Champion of the White
yvrot, The Dark One
Raevrel, The Magnificent
Rirsais, Eternal Fire
Bepyphder, Lord of the Brown
Ziolreidrrier, The Scary One
Nyllielth, Champion of Dragons
Biorsiod, The Swift
Nieghioss, Lord of the Skies
Chyrsiephnot, Lord of Ice
Myghuth, Champion of Dragons
Ceisiarrnon, Lord of the Skies
Xughiess, Protector of the Sky
Giargeirssait, The Bunny Killer
Soaneisdphaerth, The Creep
Rardientrointh, The Fierce
Siakaintdat, The Magnificent
Geogieth, The Skinny One
Ciozzis, Icebreath
Chessayndiod, The Clean
Peozarrrroir, Protector of Creatures
Noammoss, Champion of Men
Riarmocrleot, The Powerful One
Groalroarth, The Bright
Jigheilth, The Life Giver
Ziendraysdnoarth, The Clever
Zyphai, Lord of the Black
Tagior, The Gifted One
Chaennissrie, Giver of Life
Paendaes, The Deathlord
Lionniad, The Clumsy One
Piommaynntug, The Mammoth
Greidhyssphainth, The Voiceless
Zyndais, The Clever
Qeigardu, The Squeeler
Sayzzienth, The Deathlord
Paykir, Protector of Creatures
Fraimrirrdeig, The Clever
Ponnarrrriet, The Protective
Naigeoth, Protector of the Forest
Braiphaysdcrer, Destroyer of Life
Freodhioth, Eternal Fire
Daikag, Icebreath
Zaermeirntes, Lord of the Green
Medhior, The Calm
Brayvrudrray, Protector of the Weak
Shiroinssor, Champion of the Green
Vayddrintrios, The Swift
ozzainsdaen, Champion of the Blue
Turdair, Champion of Men
oirgeiphnoas, Lord of the Black
Bonnayss, Lord of Ice
Tiadren, The Victorious
Zodhiet, The Bunny Killer
Zaghoanth, The Great
Nesintsseth, Protector of the Sky
Niondriontsdos, The Creep
Tuvroith, The Youngling
Tive, The Gentle
Choinith, The Protective
Bemmeonth, The Magnificent
Noathaesspheoth, Lord of the Red
Tiakulth, The Warm
Veilbienth, The Dark One
Veodhat, Champion of the Skies
Lialbaer, Eater of Bunnies
Ziedrayssphun, The Calm
oinderth, Lord of Fire
Dephecrphaynth, The Kind
aethasdrrit, Gentle Mind
Xaydruntphur, The Clean
Gaizaynth, Braveheart
Neindrays, The Magnificent
Riazzaylneith, The Skinny One
Giozzarth, The Black
Freivraysscreorth, The Voiceless One
Piarmainth, The Stubborn
eonnordays, Eater of Sheep
Seonil, The Insane
Doinnoisddior, The Voiceless
airloan, The Scary
Fronynth, The Strong Minded
Mionnass, The Calm
Siorrientdeo, Destroyer of Life
Paegoirssai, Lord of the White
Shusayrrsdeorth, The Gifted
Zeizzoidcras, Protector of the Forest
Grilairth, The Tiran
Moigiol, The Barbarian
Bermiecrntiem, Protector of the Forest
urossrries, The Insane
Zaymrut, The Young One
Salbiolth, The Calm
Zaivoass, The Skinny One
Mutym, Braveheart
Freizus, The Kind
Surson, Champion of the Red
Gedreidcreth, Eater of All
Coadulth, Champion of the Black
Neommeorphir, Lord of the Skies
ayghai, Eternal Fire
Rezzoass, The Chosen
Xaldrosdrunth, Lord of the White
Reirlidphairth, Protector of the Weak
Matirrder, Lord of the Blue
Paepheirrrierth, Warmheart
Purgedntiel, The Calm
Gavnianth, The Fast One
